Song,Artist(s),Writer(s),Album,Year,Ref.
"""Ivy""",Taylor Swift,"Taylor Swift 
Jack Antonoff 
Aaron Dessner",*Evermore*,2020,[44]
"""The Joker and the Queen"" (remixed single version)","Ed Sheeran
featuring Taylor Swift","Ed Sheeran 
Taylor Swift 
Johnny McDaid
Fred Gibson
Sam Roman",*=* (Tour Edition),2022,[58]
"""Jump Then Fall""",Taylor Swift,Taylor Swift ‡,"*Fearless* (Platinum edition) and
*Fearless (Taylor's Version)*",2009 and 2021,"[32]
[59]"
"""Karma""",Taylor Swift,"Taylor Swift 
Jack Antonoff 
Mark Spears 
Jahaan Sweet
Keanu Torres",*Midnights*,2022,[24]
"""Karma"" (remixed version)","Taylor Swift 
featuring Ice Spice","Taylor Swift 
Jack Antonoff 
Mark Spears 
Jahaan Sweet 
Keanu Torres 
Isis Gaston 
Ephrem Lopez","*Midnights* (The Til Dawn Edition) and
*Midnights* (The Late Night Edition)",2023,[60]
"""King of My Heart""",Taylor Swift,"Taylor Swift 
Max Martin 
Shellback",*Reputation*,2017,[42]
"""Labyrinth""",Taylor Swift,"Taylor Swift 
Jack Antonoff",*Midnights*,2022,[24]
"""The Lakes""",Taylor Swift,"Taylor Swift 
Jack Antonoff","*Folklore*
(Deluxe edition)",2020,[10]
"""Last Christmas"" (cover)",Taylor Swift,George Michael,*Sounds of the Season*,2007,[45]
"""The Last Great American Dynasty""",Taylor Swift,"Taylor Swift
Aaron Dessner",*Folklore*,2020,[10]
"""Last Kiss""",Taylor Swift,Taylor Swift ‡,*Speak Now* and *Speak Now (Taylor's Version)*,2010 and 2023,[27][28]
"""The Last Time""","Taylor Swift 
featuring Gary Lightbody of Snow Patrol","Taylor Swift 
Gary Lightbody 
Jacknife Lee",*Red* and *Red (Taylor's Version)*,2012 and 2021,[15]
"""Lavender Haze""",Taylor Swift,"Taylor Swift 
Jack Antonoff 
Zoë Kravitz
Mark Spears 
Jahaan Sweet 
Sam Dew",*Midnights*,2022,[24]
"""Loml""",Taylor Swift,"Taylor Swift 
Aaron Dessner",*The Tortured Poets Department*,2024,
"""London Boy""",Taylor Swift,"Taylor Swift
Jack Antonoff
Cautious Clay
Mark Spears",*Lover*,2019,[16]
"""Long Live""",Taylor Swift,Taylor Swift ‡,*Speak Now* and *Speak Now (Taylor's Version)*,2010 and 2023,[27][28]
"""Long Live"" (Brazilian remixed single version)","Taylor Swift 
featuring Paula Fernandes","Taylor Swift 
Paula Fernandes",*Speak Now World Tour – Live*,2012,[34]
"""Long Story Short""",Taylor Swift,"Taylor Swift 
Aaron Dessner",*Evermore*,2020,[44]
"""Look What You Made Me Do""",Taylor Swift,"Taylor Swift 
Jack Antonoff
Fred Fairbrass
Richard Fairbrass
Rob Manzoli[f]",*Reputation*,2017,[42]
"""Love Story""",Taylor Swift,Taylor Swift ‡,*Fearless* and *Fearless (Taylor's Version)*,2008 and 2021,[32]
"""Lover""",Taylor Swift,Taylor Swift ‡,*Lover*,2019,[16]
"""Lover (Remix)""","Taylor Swift
featuring Shawn Mendes","Taylor Swift
Shawn Mendes
Scott Harris",Non-album single[g],2019,[62]
"""The Lucky One""",Taylor Swift,Taylor Swift ‡,*Red* and *Red (Taylor's Version)*,2012 and 2021,[15]
"""Macavity"" (cover)","Taylor Swift
and Idris Elba","Andrew Lloyd Webber
T. S. Eliot",*Cats: Highlights from the Motion Picture Soundtrack*,2019,[63]
"""Mad Woman""",Taylor Swift,"Taylor Swift
Aaron Dessner",*Folklore*,2020,[10]
"""The Man""",Taylor Swift,"Taylor Swift
Joel Little",*Lover*,2019,[16]
"""The Manuscript""",Taylor Swift,Taylor Swift ‡,"*The Tortured Poets Department*
(The Anthology)",2024,
"""Marjorie""",Taylor Swift,"Taylor Swift 
Aaron Dessner",*Evermore*,2020,[44]
"""Maroon""",Taylor Swift,"Taylor Swift 
Jack Antonoff",*Midnights*,2022,[24]
"""Mary's Song (Oh My My My)""",Taylor Swift,"Taylor Swift 
Liz Rose 
Brian Maher",*Taylor Swift*,2006,[2]
"""Mastermind""",Taylor Swift,"Taylor Swift 
Jack Antonoff",*Midnights*,2022,[24]
"""Me!""","Taylor Swift 
featuring Brendon Urie of Panic! at the Disco","Taylor Swift 
Joel Little 
Brendon Urie",*Lover*,2019,[64]
"""Mean""",Taylor Swift,Taylor Swift ‡,*Speak Now* and *Speak Now (Taylor's Version)*,2010 and 2023,[27][28]
"""Message in a Bottle""",Taylor Swift,"Taylor Swift
Max Martin
Shellback",*Red (Taylor's Version)*,2021,[21]
"""Midnight Rain""",Taylor Swift,"Taylor Swift 
Jack Antonoff",*Midnights*,2022,[24]
"""Mine""",Taylor Swift,Taylor Swift ‡,*Speak Now* and *Speak Now (Taylor's Version)*,2010 and 2023,[27][28]
"""Mirrorball""",Taylor Swift,"Taylor Swift
Jack Antonoff",*Folklore*,2020,[10]
"""Miss Americana & the Heartbreak Prince""",Taylor Swift,"Taylor Swift 
Joel Little",*Lover*,2019,[16]
"""The Moment I Knew""",Taylor Swift,Taylor Swift ‡,*Red* (Deluxe edition) and *Red (Taylor's Version)*,2012 and 2021,[15]
"""Mr. Perfectly Fine""",Taylor Swift,Taylor Swift ‡,*Fearless (Taylor's Version)*,2021,[41]
"""My Boy Only Breaks His Favorite Toys""",Taylor Swift,Taylor Swift ‡,*The Tortured Poets Department*,2024,
"""My Tears Ricochet""",Taylor Swift,Taylor Swift ‡,*Folklore*,2020,[10]
"""Never Grow Up""",Taylor Swift,Taylor Swift ‡,*Speak Now* and *Speak Now (Taylor's Version)*,2010 and 2023,[27][28]
"""New Romantics""",Taylor Swift,"Taylor Swift
Max Martin
Shellback",*1989* (Deluxe edition) and *1989 (Taylor's Version)*,2014 and 2023,[22]
"""New Year's Day""",Taylor Swift,"Taylor Swift 
Jack Antonoff",*Reputation*,2017,[42]
"""No Body, No Crime""","Taylor Swift
featuring Haim",Taylor Swift ‡,*Evermore*,2020,[44]
"""Nothing New""","Taylor Swift 
featuring Phoebe Bridgers",Taylor Swift ‡,*Red (Taylor's Version)*,2021,[21]
"""Now That We Don't Talk""",Taylor Swift,"Taylor Swift 
Jack Antonoff",*1989 (Taylor's Version)*,2023,[56]
"""Only the Young""",Taylor Swift,"Taylor Swift 
Joel Little",Non-album promotional single,2020,[65]
"""The Other Side of the Door""",Taylor Swift,Taylor Swift ‡,"*Fearless* (Platinum edition)
and *Fearless (Taylor's Version)*",2009 and 2021,[32]
"""Our Song""",Taylor Swift,Taylor Swift ‡,*Taylor Swift*,2006,[2]
"""Ours""",Taylor Swift,Taylor Swift ‡,"*Speak Now* (Deluxe edition)
and *Speak Now (Taylor's Version)*",2010 and 2023,[27][28]
"""Out of the Woods""",Taylor Swift,"Taylor Swift 
Jack Antonoff",*1989* and *1989 (Taylor's Version)*,2014 and 2023,[22]
"""The Outside""",Taylor Swift,Taylor Swift ‡,*Taylor Swift*,2006,[2]
"""Paper Rings""",Taylor Swift,"Taylor Swift 
Jack Antonoff",*Lover*,2019,[16]
"""Paris""",Taylor Swift,"Taylor Swift 
Jack Antonoff","*Midnights*
(3am Edition)",2022,[35]
"""Peace""",Taylor Swift,"Taylor Swift
Aaron Dessner",*Folklore*,2020,[10]
"""A Perfectly Good Heart""",Taylor Swift,"Taylor Swift 
Brett James
Troy Verges","*Taylor Swift*
(Deluxe edition)",2007,[2]
"""Peter""",Taylor Swift,Taylor Swift ‡,"*The Tortured Poets Department*
(The Anthology)",2024,
"""Picture to Burn""",Taylor Swift,"Taylor Swift 
Liz Rose",*Taylor Swift*,2006,[2]
"""A Place in This World""",Taylor Swift,"Taylor Swift 
Robert Ellis Orrall 
Angelo Petraglia",*Taylor Swift*,2006,[2]
"""The Prophecy""",Taylor Swift,"Taylor Swift 
Aaron Dessner","*The Tortured Poets Department*
(The Anthology)",2024,
"""Question...?""",Taylor Swift,"Taylor Swift 
Jack Antonoff",*Midnights*,2022,[24]
"""...Ready for It?""",Taylor Swift,"Taylor Swift 
Max Martin 
Shellback 
Ali Payami",*Reputation*,2017,[42]
"""Red""",Taylor Swift,Taylor Swift ‡,*Red* and *Red (Taylor's Version)*,2012 and 2021,[15]
"""Renegade""","Big Red Machine
featuring Taylor Swift","Aaron Dessner 
Taylor Swift",*How Long Do You Think It's Gonna Last?*,2021,[37]
"""Right Where You Left Me""",Taylor Swift,"Taylor Swift 
Aaron Dessner","*Evermore*
(Deluxe edition)",2020,[57]
"""Robin""",Taylor Swift,"Taylor Swift 
Aaron Dessner","*The Tortured Poets Department*
(The Anthology)",2024,
"""Ronan""",Taylor Swift,"Taylor Swift 
Maya Thompson","Originally a non-album charity single
*Red (Taylor's Version)*",2012 and 2021,[66]
"""Run""","Taylor Swift 
featuring Ed Sheeran","Taylor Swift 
Ed Sheeran",*Red (Taylor's Version)*,2021,[21]
"""Sad Beautiful Tragic""",Taylor Swift,Taylor Swift ‡,*Red* and *Red (Taylor's Version)*,2012 and 2021,[15]
"""Safe & Sound""","Taylor Swift 
featuring the Civil Wars","Taylor Swift 
Joy Williams
John Paul White
T Bone Burnett",*The Hunger Games*[h],2011 and 2023,[49]
"""Santa Baby"" (cover)",Taylor Swift,"Joan Javits 
Philip Springer 
Tony Springer",*Sounds of the Season*,2007,[45]
"""Say Don't Go""",Taylor Swift,"Taylor Swift 
Diane Warren",*1989 (Taylor's Version)*,2023,[56]
"""September"" (cover)",Taylor Swift,"Maurice White
Al McKay
Allee Willis",*Spotify Singles*,2018,[67]
"""Seven""",Taylor Swift,"Taylor Swift
Aaron Dessner",*Folklore*,2020,[10]
"""Shake It Off""",Taylor Swift,"Taylor Swift 
Max Martin 
Shellback",*1989* and *1989 (Taylor's Version)*,2014 and 2023,[22]
"""Should've Said No""",Taylor Swift,Taylor Swift ‡,*Taylor Swift*,2006,[2]
"""Silent Night"" (cover)",Taylor Swift,"Josef Mohr
Franz Xaver Gruber",*Sounds of the Season*,2007,[45]
"""'Slut!'""",Taylor Swift,"Taylor Swift 
Jack Antonoff 
Patrik Berger",*1989 (Taylor's Version)*,2023,[56]
"""The Smallest Man Who Ever Lived""",Taylor Swift,"Taylor Swift 
Aaron Dessner",*The Tortured Poets Department*,2024,
"""Snow on the Beach""","Taylor Swift
featuring Lana Del Rey","Taylor Swift 
Lana Del Rey 
Jack Antonoff",*Midnights*,2022,[24]
"""Snow on the Beach"" (remixed version)","Taylor Swift
featuring Lana Del Rey","Taylor Swift 
Lana Del Rey 
Jack Antonoff","*Midnights* (The Til Dawn Edition) and
*Midnights* (The Late Night Edition)",2023,[60]
"""So High School""",Taylor Swift,"Taylor Swift 
Aaron Dessner","*The Tortured Poets Department*
(The Anthology)",2024,
"""So It Goes...""",Taylor Swift,"Taylor Swift 
Max Martin 
Shellback 
Oscar Görres",*Reputation*,2017,[42]
"""So Long, London""",Taylor Swift,"Taylor Swift 
Aaron Dessner",*The Tortured Poets Department*,2024,
"""Soon You'll Get Better""","Taylor Swift
featuring Dixie Chicks","Taylor Swift 
Jack Antonoff",*Lover*,2019,[16]
"""Sparks Fly""",Taylor Swift,Taylor Swift ‡,*Speak Now* and *Speak Now (Taylor's Version)*,2010 and 2023,[27][28]
"""Speak Now""",Taylor Swift,Taylor Swift ‡,*Speak Now* and *Speak Now (Taylor's Version)*,2010 and 2023,[27][28]
"""Starlight""",Taylor Swift,Taylor Swift ‡,*Red* and *Red (Taylor's Version)*,2012 and 2021,[15]
"""State of Grace""",Taylor Swift,Taylor Swift ‡,*Red* and *Red (Taylor's Version)*,2012 and 2021,[15]
"""Stay Beautiful""",Taylor Swift,"Taylor Swift 
Liz Rose",*Taylor Swift*,2006,[2]
"""Stay Stay Stay""",Taylor Swift,Taylor Swift ‡,*Red* and *Red (Taylor's Version)*,2012 and 2021,[15]
"""The Story of Us""",Taylor Swift,Taylor Swift ‡,*Speak Now* and *Speak Now (Taylor's Version)*,2010 and 2023,[27][28]
"""Style""",Taylor Swift,"Taylor Swift
Max Martin
Shellback
Ali Payami",*1989* and *1989 (Taylor's Version)*,2014 and 2023,[22]
"""Suburban Legends""",Taylor Swift,"Taylor Swift 
Jack Antonoff",*1989 (Taylor's Version)*,2023,[56]
"""Superman""",Taylor Swift,Taylor Swift ‡,"*Speak Now* (Deluxe edition)
and *Speak Now (Taylor's Version)*",2010 and 2023,[27][28]
"""Superstar""",Taylor Swift,Taylor Swift ‡,"*Fearless* (Platinum edition)
and *Fearless (Taylor's Version)*",2009 and 2021,[32]
"""Sweet Nothing""",Taylor Swift,"Taylor Swift 
William Bowery",*Midnights*,2022,[24]
"""Sweeter than Fiction""",Taylor Swift,"Taylor Swift 
Jack Antonoff","*One Chance Soundtrack*
and *1989 (Taylor's Version)* (Tangerine Edition)",2013 and 2023,[68]
"""Teardrops on My Guitar""",Taylor Swift,"Taylor Swift 
Liz Rose",*Taylor Swift*,2006,[2]
"""Tell Me Why""",Taylor Swift,"Taylor Swift 
Liz Rose",*Fearless* and *Fearless (Taylor's Version)*,2008 and 2021,[32]
"""Thank You Aimee""",Taylor Swift,"Taylor Swift 
Aaron Dessner","*The Tortured Poets Department*
(The Anthology)",2024,
"""That's When""","Taylor Swift
featuring Keith Urban","Taylor Swift 
Brad Warren 
Brett Warren",*Fearless (Taylor's Version)*,2021,[41]
"""This Is Me Trying""",Taylor Swift,"Taylor Swift
Jack Antonoff",*Folklore*,2020,[10]
"""This is What You Came For""","Calvin Harris
featuring Rihanna","Calvin Harris
Taylor Swift[i]",Non-album single,2016,[33]
"""This Is Why We Can't Have Nice Things""",Taylor Swift,"Taylor Swift 
Jack Antonoff",*Reputation*,2017,[42]
"""This Love""",Taylor Swift,Taylor Swift ‡,*1989* and *1989 (Taylor's Version)*,2014 and 2022,[22]
"""Tied Together with a Smile""",Taylor Swift,"Taylor Swift 
Liz Rose",*Taylor Swift*,2006,[2]
"""Tim McGraw""",Taylor Swift,"Taylor Swift 
Liz Rose",*Taylor Swift*,2006,[2]
"""Timeless""",Taylor Swift,Taylor Swift ‡,*Speak Now (Taylor's Version)*,2023,[28]
"""'Tis the Damn Season""",Taylor Swift,"Taylor Swift 
Aaron Dessner",*Evermore*,2020,[44]
"""Today Was a Fairytale""",Taylor Swift,Taylor Swift ‡,*Valentine's Day*[j] and *Fearless (Taylor's Version)*,2010 and 2021,[59]
"""Tolerate It""",Taylor Swift,"Taylor Swift 
Aaron Dessner",*Evermore*,2020,[44]
"""The Tortured Poets Department""",Taylor Swift,"Taylor Swift 
Jack Antonoff",*The Tortured Poets Department*,2024,
"""Treacherous""",Taylor Swift,"Taylor Swift 
Dan Wilson",*Red* and *Red (Taylor's Version)*,2012 and 2021,[15]
"""Two Is Better Than One""","Boys Like Girls
featuring Taylor Swift","Martin Johnson
Taylor Swift",*Love Drunk*,2009,[72]
"""Umbrella"" (live cover)",Taylor Swift,"Christopher ""Tricky"" Stewart
Terius ""Dream"" Nash
Thaddis Harrell
Shawn Carter",*iTunes Live from SoHo*,2008,[73]
"""Untouchable""",Taylor Swift,"Cary Barlowe
Nathan Barlowe 
Tommy Lee James 
Taylor Swift[k]","*Fearless* (Platinum edition)
and *Fearless (Taylor's Version)*",2009 and 2021,[32]
"""The Very First Night""",Taylor Swift,"Taylor Swift 
Amund Bjørklund
Espen Lind",*Red (Taylor's Version)*,2021,[21]
"""Vigilante Shit""",Taylor Swift,Taylor Swift ‡,*Midnights*,2022,[24]
"""The Way I Loved You""",Taylor Swift,"Taylor Swift 
John Rich",*Fearless* and *Fearless (Taylor's Version)*,2008 and 2021,[32]
"""We Are Never Ever Getting Back Together""",Taylor Swift,"Taylor Swift 
Max Martin 
Shellback",*Red* and *Red (Taylor's Version)*,2012 and 2021,[15]
"""Welcome to New York""",Taylor Swift,"Taylor Swift 
Ryan Tedder",*1989* and *1989 (Taylor's Version)*,2014 and 2023,[22]
"""We Were Happy""",Taylor Swift,"Taylor Swift 
Liz Rose",*Fearless (Taylor's Version)*,2021,[41]
"""When Emma Falls in Love""",Taylor Swift,Taylor Swift ‡,*Speak Now (Taylor's Version)*,2023,[28]
"""White Christmas"" (cover)",Taylor Swift,Irving Berlin,*Sounds of the Season*,2007,[45]
"""White Horse""",Taylor Swift,"Taylor Swift 
Liz Rose",*Fearless* and *Fearless (Taylor's Version)*,2008 and 2021,[32]
"""Who's Afraid of Little Old Me?""",Taylor Swift,Taylor Swift ‡,*The Tortured Poets Department*,2024,
"""Wildest Dreams""",Taylor Swift,"Taylor Swift
Max Martin
Shellback",*1989* and *1989 (Taylor's Version)*,2014 and 2021,[22]
"""Willow""",Taylor Swift,"Taylor Swift 
Aaron Dessner",*Evermore*,2020,[44]
"""Wonderland""",Taylor Swift,"Taylor Swift
Max Martin
Shellback",*1989* (Deluxe edition) and *1989 (Taylor's Version)*,2014 and 2023,[22]
"""Would've, Could've, Should've""",Taylor Swift,"Taylor Swift 
Aaron Dessner",*Midnights* (3am Edition),2022,[35]
"""You All Over Me""","Taylor Swift
featuring Maren Morris","Taylor Swift
Scooter Carusoe",*Fearless (Taylor's Version)*,2021,[75]
"""You Are in Love""",Taylor Swift,"Taylor Swift
Jack Antonoff",*1989* (Deluxe edition) and *1989 (Taylor's Version)*,2014 and 2023,[22]
"""You Belong with Me""",Taylor Swift,"Taylor Swift 
Liz Rose",*Fearless* and *Fearless (Taylor's Version)*,2008 and 2021,[32]
"""You'll Always Find Your Way Back Home""",Miley Cyrus,"Taylor Swift
Martin Johnson",*Hannah Montana: The Movie*,2008,[33]
"""You Need to Calm Down""",Taylor Swift,"Taylor Swift
Joel Little",*Lover*,2019,[76]
"""You're Losing Me""",Taylor Swift,"Taylor Swift 
Jack Antonoff",*Midnights* (The Late Night Edition),2023,[60][77]
"""You're Not Sorry""",Taylor Swift,Taylor Swift ‡,*Fearless* and *Fearless (Taylor's Version)*,2008 and 2021,[32]
"""You're on Your Own, Kid""",Taylor Swift,"Taylor Swift 
Jack Antonoff",*Midnights*,2022,[24]